-------------
W160al
            87.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
108.3Hz 168Hz  259Hz  102.5dB    2l +   4l    1x50mm    597mm
117.4Hz 177Hz  268Hz  103.9dB    2l +   4l    1x50mm    532mm
127.1Hz 188Hz  278Hz  105.2dB    2l +   4l    1x50mm    474mm
-------------
ax6
            91.6dB            10W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 24.8Hz  52Hz  107Hz   84.3dB -330l +  12l  * 1x40mm   1147mm
 27.2Hz  55Hz  110Hz   85.9dB 1093l +  12l  * 1x40mm   1023mm
 29.9Hz  58Hz  112Hz   87.5dB  187l +  12l  * 1x40mm    911mm
 32.7Hz  61Hz  115Hz   89.1dB   97l +  12l  * 1x40mm    812mm
 35.7Hz  65Hz  118Hz   90.6dB   63l +  12l  * 1x40mm    724mm
 39.0Hz  69Hz  122Hz   92.1dB   45l +  12l  * 1x40mm    645mm
 42.5Hz  73Hz  125Hz   93.6dB   34l +  12l  * 1x40mm    575mm
 46.3Hz  77Hz  129Hz   95.1dB   27l +  12l  * 1x40mm    513mm
 50.4Hz  82Hz  133Hz   96.6dB   22l +  12l  - 1x50mm    714mm
 54.7Hz  87Hz  137Hz   98.0dB   18l +  12l  - 1x50mm    636mm
 59.4Hz  92Hz  142Hz   99.4dB   15l +  12l  - 1x50mm    567mm
 64.4Hz  97Hz  147Hz  100.8dB   13l +  12l  - 1x50mm    505mm
 69.7Hz 100Hz  152Hz  102.2dB   11l +  12l  - 1x50mm    473mm
 75.4Hz 109Hz  158Hz  103.6dB    9l +  12l    1x70mm    787mm
 81.5Hz 116Hz  164Hz  104.9dB    8l +  12l    1x70mm    701mm
 87.9Hz 122Hz  170Hz  106.3dB    7l +  12l    1x70mm    625mm
 94.8Hz 130Hz  177Hz  107.6dB    6l +  12l    1x70mm    557mm
 24.8Hz  60Hz  107Hz   84.3dB  116l +   9l  * 1x40mm   1148mm
 27.2Hz  64Hz  110Hz   85.9dB   71l +   9l  * 1x40mm   1023mm
 29.9Hz  68Hz  112Hz   87.5dB   50l +   9l  * 1x40mm    911mm
 32.7Hz  72Hz  115Hz   89.1dB   37l +   9l  * 1x40mm    812mm
 35.7Hz  76Hz  118Hz   90.6dB   29l +   9l  * 1x40mm    724mm
