-------------
AWM104
            88.0dB           200W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 51.7Hz  98Hz  137Hz   94.3dB    4l +   3l    1x40mm   1423mm
 56.2Hz 104Hz  141Hz   95.7dB    3l +   3l    1x40mm   1268mm
 61.0Hz 110Hz  146Hz   97.2dB    3l +   3l    1x40mm   1130mm
 66.1Hz 100Hz  151Hz   98.6dB    3l +   3l    1x40mm   1371mm
 71.6Hz 103Hz  156Hz   99.9dB    3l +   3l    1x40mm   1284mm
 77.4Hz 112Hz  162Hz  101.3dB    3l +   3l    1x40mm   1089mm
 71.9Hz 119Hz  168Hz  100.0dB    2l +   3l    1x40mm    971mm
 78.5Hz 126Hz  175Hz  101.5dB    2l +   3l    1x40mm    865mm
 97.4Hz 133Hz  182Hz  105.3dB    2l +   3l    1x40mm    771mm
 30.6Hz  74Hz  180Hz   85.2dB    8l +   2l    1x40mm   3573mm
 33.7Hz  79Hz  183Hz   86.9dB    7l +   2l    1x40mm   3186mm
 37.2Hz  83Hz  187Hz   88.5dB    6l +   2l    1x40mm   2839mm
 40.9Hz  88Hz  190Hz   90.2dB    5l +   2l    1x40mm   2530mm
 44.9Hz  93Hz  194Hz   91.8dB    4l +   2l    1x40mm   2255mm
 49.3Hz  99Hz  199Hz   93.5dB    4l +   2l    1x40mm   2010mm
 54.0Hz 105Hz  204Hz   95.0dB    3l +   2l    1x40mm   1791mm
 59.1Hz 111Hz  209Hz   96.6dB    3l +   2l    1x40mm   1596mm
 64.6Hz 118Hz  214Hz   98.2dB    2l +   2l    1x40mm   1423mm
 70.6Hz 125Hz  220Hz   99.7dB    2l +   2l    1x40mm   1268mm
 76.9Hz 132Hz  227Hz  101.2dB    2l +   2l    1x40mm   1130mm
 83.8Hz 140Hz  233Hz  102.7dB    2l +   2l    1x40mm   1007mm
 91.1Hz 148Hz  241Hz  104.1dB    1l +   2l    1x40mm    898mm
 99.0Hz 157Hz  249Hz  105.6dB    1l +   2l    1x40mm    800mm
107.5Hz 166Hz  257Hz  107.0dB    1l +   2l    1x40mm    713mm
116.5Hz 176Hz  266Hz  108.4dB    1l +   2l    1x40mm    636mm
126.1Hz 186Hz  276Hz  109.8dB    1l +   2l    1x40mm    566mm
-------------
WPP180
            86.0dB            80W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 23.8Hz  49Hz  103Hz   86.3dB  134l +   7l  * 1x40mm   2111mm
 26.1Hz  52Hz  105Hz   87.9dB   71l +   7l  * 1x40mm   1881mm
 28.6Hz  56Hz  108Hz   89.5dB   46l +   7l  * 1x40mm   1677mm
 31.3Hz  59Hz  110Hz   91.1dB   33l +   7l  * 1x40mm   1495mm
 34.2Hz  62Hz  113Hz   92.6dB   25l +   7l  * 1x40mm   1332mm
