-------------
Aura_NSW1_205_8A
            78.0dB             5W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NSW2_326_8A
            84.0dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
Aura_NS3_193_8A
            80.0dB            20W       1x40mm
 16.4Hz  36Hz   58Hz  100.0dB   89l +  30l  * 1x70mm   2986mm
 18.0Hz  38Hz   60Hz  101.6dB   74l +  30l  * 1x70mm   2661mm
 19.6Hz  40Hz   61Hz  103.1dB   62l +  30l  * 1x70mm   2371mm
 21.4Hz  43Hz   63Hz  104.6dB   53l +  30l  * 1x70mm   2114mm
 23.3Hz  45Hz   65Hz  106.1dB   45l +  30l  * 1x70mm   1884mm
 25.4Hz  48Hz   67Hz  107.5dB   39l +  30l  * 1x70mm   1679mm
 27.5Hz  51Hz   69Hz  109.0dB   33l +  30l  * 1x70mm   1496mm
 29.9Hz  54Hz   71Hz  110.4dB   29l +  30l  * 1x70mm   1334mm
 32.4Hz  49Hz   74Hz  111.8dB   37l +  30l  * 1x70mm   1618mm
 35.1Hz  51Hz   77Hz  113.2dB   34l +  30l  * 1x70mm   1515mm
 38.0Hz  55Hz   80Hz  114.5dB   28l +  30l  * 1x70mm   1285mm
 35.2Hz  58Hz   83Hz  113.2dB   24l +  30l  * 1x70mm   1145mm
 38.5Hz  62Hz   86Hz  114.8dB   21l +  30l  * 1x70mm   1021mm
 47.7Hz  65Hz   89Hz  118.5dB   18l +  30l  * 1x70mm    910mm
 15.0Hz  36Hz   88Hz   98.4dB   86l +  21l  * 1x70mm   4216mm
 16.5Hz  39Hz   90Hz  100.1dB   72l +  21l  * 1x70mm   3759mm
 18.2Hz  41Hz   92Hz  101.8dB   60l +  21l  * 1x70mm   3350mm
 20.0Hz  43Hz   93Hz  103.4dB   51l +  21l  * 1x70mm   2985mm
 22.0Hz  46Hz   95Hz  105.1dB   44l +  21l  * 1x70mm   2661mm
 24.2Hz  49Hz   97Hz  106.7dB   38l +  21l  * 1x70mm   2371mm
 26.5Hz  51Hz  100Hz  108.3dB   33l +  21l  * 1x70mm   2113mm
 29.0Hz  54Hz  102Hz  109.8dB   28l +  21l  * 1x70mm   1884mm
 31.7Hz  58Hz  105Hz  111.4dB   25l +  21l  * 1x70mm   1679mm
 34.6Hz  61Hz  108Hz  112.9dB   21l +  21l  * 1x70mm   1496mm
 37.7Hz  65Hz  111Hz  114.4dB   19l +  21l  * 1x70mm   1334mm
 41.1Hz  69Hz  114Hz  115.9dB   16l +  21l  * 1x70mm   1189mm
 44.7Hz  73Hz  118Hz  117.4dB   15l +  21l  * 1x70mm   1059mm
 48.5Hz  77Hz  122Hz  118.8dB   13l +  21l  * 1x70mm    944mm
 52.7Hz  81Hz  126Hz  120.2dB   11l +  21l  * 1x70mm    841mm
 57.1Hz  86Hz  130Hz  121.6dB   10l +  21l  * 1x70mm    750mm
 61.8Hz  91Hz  135Hz  123.0dB    9l +  21l  * 1x70mm    668mm
-------------
Aura_NS12_794_4A
            84.0dB           400W      1x100mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.1Hz  27Hz   57Hz  101.0dB 3560l +  30l  * 1x50mm   2602mm
 14.4Hz  29Hz   58Hz  102.6dB  532l +  30l  * 1x50mm   2319mm
 15.8Hz  31Hz   59Hz  104.2dB  272l +  30l  * 1x50mm   2067mm
 17.3Hz  32Hz   61Hz  105.7dB  176l +  30l  * 1x50mm   1842mm
 18.9Hz  34Hz   63Hz  107.3dB  126l +  30l  * 1x50mm   1642mm
