-------------
M5N
            82.0dB            35W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 34.6Hz  64Hz   87Hz  100.8dB   15l +  13l  * 1x40mm    729mm
 37.6Hz  68Hz   90Hz  102.3dB   13l +  13l  * 1x40mm    650mm
 40.8Hz  62Hz   93Hz  103.7dB   17l +  13l  * 1x40mm    789mm
 44.1Hz  64Hz   96Hz  105.0dB   16l +  13l  * 1x40mm    739mm
 47.7Hz  69Hz  100Hz  106.4dB   13l +  13l  * 1x40mm    626mm
 44.3Hz  73Hz  104Hz  105.1dB   11l +  13l  * 1x40mm    558mm
 48.4Hz  78Hz  108Hz  106.7dB    9l +  13l  - 1x50mm    778mm
 60.0Hz  82Hz  112Hz  110.4dB    8l +  13l  - 1x50mm    693mm
 18.9Hz  46Hz  111Hz   90.3dB   46l +   9l  * 1x40mm   2055mm
 20.8Hz  48Hz  113Hz   92.0dB   37l +   9l  * 1x40mm   1832mm
 22.9Hz  51Hz  115Hz   93.7dB   30l +   9l  * 1x40mm   1633mm
 25.2Hz  54Hz  117Hz   95.3dB   25l +   9l  * 1x40mm   1455mm
 27.7Hz  58Hz  120Hz   97.0dB   21l +   9l  * 1x40mm   1297mm
 30.4Hz  61Hz  123Hz   98.6dB   17l +   9l  * 1x40mm   1156mm
 33.3Hz  65Hz  125Hz  100.2dB   15l +   9l  * 1x40mm   1030mm
 36.4Hz  68Hz  129Hz  101.7dB   13l +   9l  * 1x40mm    918mm
 39.8Hz  73Hz  132Hz  103.3dB   11l +   9l  * 1x40mm    818mm
 43.5Hz  77Hz  136Hz  104.8dB   10l +   9l  * 1x40mm    729mm
 47.4Hz  81Hz  140Hz  106.3dB    8l +   9l  * 1x40mm    650mm
 51.7Hz  86Hz  144Hz  107.8dB    7l +   9l  * 1x40mm    579mm
 56.2Hz  91Hz  148Hz  109.2dB    6l +   9l  * 1x40mm    516mm
 61.0Hz  97Hz  153Hz  110.7dB    6l +   9l  - 1x50mm    719mm
 66.2Hz 102Hz  158Hz  112.1dB    5l +   9l  - 1x50mm    641mm
 71.8Hz 109Hz  164Hz  113.5dB    4l +   9l  - 1x50mm    571mm
 77.7Hz 115Hz  170Hz  114.9dB    4l +   9l  - 1x50mm    509mm
