-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
10F8424G00
            86.6dB            15W       1x40mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
-------------
15M4831G00
            90.0dB            40W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 41.4Hz  78Hz  146Hz   97.9dB    5l +   4l  + 1x40mm   1678mm
 45.3Hz  82Hz  150Hz   99.4dB    4l +   4l  + 1x40mm   1496mm
 49.4Hz  87Hz  154Hz  101.0dB    4l +   4l  + 1x40mm   1333mm
 53.9Hz  92Hz  159Hz  102.5dB    3l +   4l  + 1x40mm   1188mm
 58.7Hz  98Hz  163Hz  103.9dB    3l +   4l  + 1x40mm   1059mm
 63.9Hz 104Hz  169Hz  105.4dB    3l +   4l  + 1x40mm    944mm
 69.4Hz 110Hz  174Hz  106.8dB    2l +   4l  + 1x40mm    841mm
 75.3Hz 116Hz  180Hz  108.3dB    2l +   4l  - 1x40mm    750mm
 81.6Hz 123Hz  186Hz  109.7dB    2l +   4l  - 1x40mm    668mm
-------------
15W8434G00
            86.9dB            60W       1x50mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 37.5Hz  78Hz  162Hz   90.9dB    6l +   2l  + 1x40mm   3653mm
 41.2Hz  83Hz  166Hz   92.5dB    5l +   2l  + 1x40mm   3256mm
 45.1Hz  88Hz  170Hz   94.1dB    5l +   2l  + 1x40mm   2902mm
 49.4Hz  93Hz  174Hz   95.6dB    4l +   2l  + 1x40mm   2587mm
 54.0Hz  98Hz  179Hz   97.2dB    3l +   2l  + 1x40mm   2305mm
 58.9Hz 104Hz  184Hz   98.7dB    3l +   2l  + 1x40mm   2054mm
 64.2Hz 110Hz  189Hz  100.2dB    3l +   2l  + 1x40mm   1831mm
 70.0Hz 117Hz  195Hz  101.7dB    2l +   2l  + 1x40mm   1632mm
 76.1Hz 124Hz  201Hz  103.2dB    2l +   2l  + 1x40mm   1454mm
 82.7Hz 131Hz  207Hz  104.6dB    2l +   2l  + 1x40mm   1296mm
 37.5Hz  91Hz  162Hz   90.9dB    4l +   1l  + 1x40mm   3653mm
 41.2Hz  96Hz  166Hz   92.5dB    4l +   1l  + 1x40mm   3256mm
 45.1Hz 102Hz  170Hz   94.1dB    3l +   1l  + 1x40mm   2902mm
 49.4Hz 108Hz  174Hz   95.6dB    3l +   1l  + 1x40mm   2587mm
 54.0Hz 115Hz  179Hz   97.2dB    2l +   1l  + 1x40mm   2305mm
 58.9Hz 121Hz  184Hz   98.7dB    2l +   1l  + 1x40mm   2054mm
 64.2Hz 129Hz  189Hz  100.2dB    2l +   1l  + 1x40mm   1831mm
 70.0Hz 136Hz  195Hz  101.7dB    2l +   1l  + 1x40mm   1632mm
 76.1Hz 144Hz  201Hz  103.2dB    1l +   1l  + 1x40mm   1455mm
 82.7Hz 153Hz  207Hz  104.6dB    1l +   1l  + 1x40mm   1296mm
-------------
18S8535-00
            86.0dB            70W       1x70mm
   fu     fb      fo      SplMech  Vb1     Vb2       d         l        C
 13.8Hz  29Hz   60Hz   79.9dB  319l +  23l  * 1x40mm   1945mm
 15.2Hz  30Hz   61Hz   81.5dB  192l +  23l  * 1x40mm   1734mm
 16.6Hz  32Hz   63Hz   83.1dB  132l +  23l  * 1x40mm   1545mm
 18.2Hz  34Hz   64Hz   84.7dB   98l +  23l  * 1x40mm   1378mm
 19.9Hz  36Hz   66Hz   86.3dB   76l +  23l  * 1x40mm   1227mm
 21.7Hz  38Hz   68Hz   87.8dB   61l +  23l  * 1x40mm   1094mm
 23.7Hz  41Hz   70Hz   89.3dB   50l +  23l  * 1x40mm    975mm
 25.8Hz  43Hz   72Hz   90.8dB   41l +  23l  * 1x40mm    869mm
 28.1Hz  46Hz   74Hz   92.2dB   35l +  23l  * 1x40mm    775mm
 30.5Hz  48Hz   77Hz   93.7dB   29l +  23l  * 1x40mm    690mm
 33.1Hz  51Hz   79Hz   95.1dB   25l +  23l  * 1x40mm    615mm
 35.9Hz  54Hz   82Hz   96.5dB   21l +  23l  * 1x40mm    548mm
